Name,Team,BsR,NameASCII,PlayerId,MLBAMID
"Miguel Rojas","LAD",-0.35034169256687164,"Miguel Rojas",7802,500743
"Manny Machado","SDP",-0.37295855581760406,"Manny Machado",11493,592518
"Sean Murphy","ATL",-0.3742130622267723,"Sean Murphy",19352,669221
"Pedro Pagés","STL",-0.38019078224897385,"Pedro Pages",25782,686780
"Connor Joe","PIT",-0.38663244247436523,"Connor Joe",16572,656582
"Bo Bichette","TOR",-0.40727128833532333,"Bo Bichette",19612,666182
"Will Brennan","CLE",-0.42431944608688354,"Will Brennan",25660,686823
"Oswaldo Cabrera","NYY",-0.4364420995116234,"Oswaldo Cabrera",21707,665828
"Joey Loperfido","- - -",-0.4391685128211975,"Joey Loperfido",29630,694388
"Davis Schneider","TOR",-0.4438650384545326,"Davis Schneider",23565,676914
"Nolan Jones","COL",-0.4517381936311722,"Nolan Jones",20529,666134
"Freddy Fermin","KCR",-0.4600861370563507,"Freddy Fermin",21840,666023
"Nicky Lopez","CHW",-0.47329530864953995,"Nicky Lopez",19339,670032
"J.T. Realmuto","PHI",-0.47942138463258743,"J.T. Realmuto",11739,592663
"Charlie Blackmon","COL",-0.4806221053004265,"Charlie Blackmon",7859,453568
"Aaron Judge","NYY",-0.48411617428064346,"Aaron Judge",15640,592450
"Dominic Fletcher","CHW",-0.48690422624349594,"Dominic Fletcher",26149,666150
"Bryce Harper","PHI",-0.5027054697275162,"Bryce Harper",11579,547180
"Nick Ahmed","- - -",-0.5039844326674938,"Nick Ahmed",12147,605113
"Max Muncy","LAD",-0.5226212590932846,"Max Muncy",13301,571970
"Luis Campusano","SDP",-0.5235906112939119,"Luis Campusano",22217,669134
"Chas McCormick","HOU",-0.5255730450153351,"Chas McCormick",19599,676801
"Andy Pages","LAD",-0.529859334230423,"Andy Pages",24816,681624
"Jhonkensy Noel","CLE",-0.5631332695484161,"Jhonkensy Noel",24257,678877
"Josh Smith","TEX",-0.5763794779777527,"Josh Smith",26396,669701
"Carlos Correa","MIN",-0.5832377076148987,"Carlos Correa",14162,621043
"David Peralta","SDP",-0.5846606194972992,"David Peralta",2136,444482
"Willi Castro","MIN",-0.5997637659311295,"Willi Castro",17338,650489
"Heliot Ramos","SFG",-0.6254510506987572,"Heliot Ramos",22515,671218
"Ramón Urías","BAL",-0.6317273303866386,"Ramon Urias",18795,602104
"Jake Rogers","DET",-0.6549803912639618,"Jake Rogers",19452,668670
"Seth Brown","OAK",-0.6600548401474953,"Seth Brown",18171,664913
"Tyler Nevin","OAK",-0.6660313233733177,"Tyler Nevin",17893,663527
"Nolan Gorman","STL",-0.7010723501443863,"Nolan Gorman",22263,669357
"Jake Burger","MIA",-0.7011623308062553,"Jake Burger",22275,669394
"Adolis García","TEX",-0.7068880423903465,"Adolis Garcia",19287,666969
"Jose Altuve","HOU",-0.7081025987863541,"Jose Altuve",5417,514888
"Lourdes Gurriel Jr.","ARI",-0.7201286181807518,"Lourdes Gurriel Jr.",19238,666971
"Nick Senzel","- - -",-0.7255050539970398,"Nick Senzel",19293,669222
"Lenyn Sosa","CHW",-0.7257052063941956,"Lenyn Sosa",22896,672820
"Justyn-Henry Malloy","DET",-0.7305208444595337,"Justyn-Henry Malloy",29606,669234
"Ildemaro Vargas","WSN",-0.7421644255518913,"Ildemaro Vargas",13324,545121
"Ramón Laureano","- - -",-0.7537676990032196,"Ramon Laureano",17128,657656
"Austin Slater","- - -",-0.7599002160131931,"Austin Slater",16153,596103
"Jurickson Profar","SDP",-0.7747033312916756,"Jurickson Profar",10815,595777
"Tyler O'Neill","BOS",-0.7821055576205254,"Tyler O'Neill",15711,641933
"Isaac Paredes","- - -",-0.7840153202414513,"Isaac Paredes",20036,670623
"Ryan Jeffers","MIN",-0.8032593280076981,"Ryan Jeffers",24618,680777
"Emmanuel Rivera","- - -",-0.8048868291079998,"Emmanuel Rivera",19890,656896
"Seiya Suzuki","CHC",-0.8059256002306938,"Seiya Suzuki",30116,673548
"Jeimer Candelario","CIN",-0.8216995671391487,"Jeimer Candelario",13621,600869
"Ryan Mountcastle","BAL",-0.8278427347540855,"Ryan Mountcastle",18373,663624
"Nathaniel Lowe","TEX",-0.8495347201824188,"Nathaniel Lowe",19566,663993
"Brendan Rodgers","COL",-0.8791847601532936,"Brendan Rodgers",17907,663898
"Max Kepler","MIN",-0.8795004785060883,"Max Kepler",12144,596146
"Jose Trevino","NYY",-0.8953989744186401,"Jose Trevino",16725,624431
"Ezequiel Duran","TEX",-0.9223799705505371,"Ezequiel Duran",23733,677649
"Rafael Devers","BOS",-0.9237145930528641,"Rafael Devers",17350,646240
"Joey Gallo","WSN",-0.9331984296441078,"Joey Gallo",14128,608336
"Bo Naylor","CLE",-0.9572598934173584,"Bo Naylor",21865,666310
"Carlos Santana","MIN",-0.9754051044583321,"Carlos Santana",2396,467793
"Luis Arraez","- - -",-0.9929389618337154,"Luis Arraez",18568,650333
"Wilmer Flores","SFG",-1.0314605683088303,"Wilmer Flores",5827,527038
"Vidal Bruján","MIA",-1.0399779602885246,"Vidal Brujan",20536,660644
"Yasmani Grandal","PIT",-1.0599005818367004,"Yasmani Grandal",11368,518735
"Ben Rortvedt","TBR",-1.0702937692403793,"Ben Rortvedt",20287,666163
"Danny Jansen","- - -",-1.0881306380033493,"Danny Jansen",16535,643376
"Orlando Arcia","ATL",-1.0883718356490135,"Orlando Arcia",13185,606115
"Trent Grisham","NYY",-1.1012844741344452,"Trent Grisham",18564,663757
"Eugenio Suárez","ARI",-1.108960848301649,"Eugenio Suarez",12552,553993
"Royce Lewis","MIN",-1.1327675729990005,"Royce Lewis",20437,668904
"Keibert Ruiz","WSN",-1.1349425166845322,"Keibert Ruiz",19610,660688
"Kyle Higashioka","SDP",-1.1372102126479149,"Kyle Higashioka",5517,543309
"Randy Arozarena","- - -",-1.1425011977553368,"Randy Arozarena",19290,668227
"Chris Taylor","LAD",-1.1471385434269905,"Chris Taylor",13757,621035
"Joc Pederson","ARI",-1.1515826359391212,"Joc Pederson",11899,592626
"Will Smith","LAD",-1.1909246779978275,"Will Smith",19197,669257
"Brett Wisely","SFG",-1.2072614803910255,"Brett Wisely",27735,689172
"MJ Melendez","KCR",-1.2101609781384468,"MJ Melendez",22197,669004
"Austin Riley","ATL",-1.2111136317253113,"Austin Riley",18360,663586
"Rob Refsnyder","BOS",-1.2193029671907425,"Rob Refsnyder",13770,608701
"Travis d'Arnaud","ATL",-1.2243348211050034,"Travis d'Arnaud",7739,518595
"Spencer Torkelson","DET",-1.2374346256256104,"Spencer Torkelson",27465,679529
"Mickey Moniak","LAA",-1.3076874166727066,"Mickey Moniak",19956,666160
"Gary Sánchez","MIL",-1.3189354911446571,"Gary Sanchez",11442,596142
"David Fry","CLE",-1.3578583151102066,"David Fry",24934,681807
"Michael Harris II","ATL",-1.366415560245514,"Michael Harris II",25931,671739
"Matt Thaiss","LAA",-1.3709856942296028,"Matt Thaiss",19318,642136
"Tim Anderson","MIA",-1.406687244772911,"Tim Anderson",15172,641313
"Freddie Freeman","LAD",-1.4688775613904,"Freddie Freeman",5361,518692
"Vinnie Pasquantino","KCR",-1.4744913876056671,"Vinnie Pasquantino",27676,686469
"Leo Jiménez","TOR",-1.4746193438768387,"Leo Jimenez",23782,677870
"Joey Bart","PIT",-1.4923987463116646,"Joey Bart",21524,663698
"James McCann","BAL",-1.507097765803337,"James McCann",12859,543510
"Jorge Polanco","SEA",-1.5582592114806175,"Jorge Polanco",13152,593871
"Juan Yepez","WSN",-1.5685304254293442,"Juan Yepez",18400,660766
"Mitch Haniger","SEA",-1.5874547883868217,"Mitch Haniger",14274,571745
"Yainer Diaz","HOU",-1.5997251570224762,"Yainer Diaz",23003,673237
"Mauricio Dubón","HOU",-1.6055341437458992,"Mauricio Dubon",16530,643289
"Will Benson","CIN",-1.6067956760525703,"Will Benson",21853,666181
"Michael Busch","CHC",-1.6259879618883133,"Michael Busch",26319,683737
"Josh Rojas","SEA",-1.6397494822740555,"Josh Rojas",19734,668942
"Jonah Bride","MIA",-1.6496246233582497,"Jonah Bride",24703,681146
"Harrison Bader","NYM",-1.6516671925783157,"Harrison Bader",18030,664056
"Willson Contreras","STL",-1.694181814789772,"Willson Contreras",11609,575929
"Brendan Donovan","STL",-1.694350317120552,"Brendan Donovan",24679,680977
"Kerry Carpenter","DET",-1.7185639962553978,"Kerry Carpenter",25961,681481
"Michael Conforto","SFG",-1.7240489423274994,"Michael Conforto",16376,624424
"Trevor Larnach","MIN",-1.7602853924036026,"Trevor Larnach",21501,663616
"Willie Calhoun","LAA",-1.8162144869565964,"Willie Calhoun",17838,641432
"Austin Wells","NYY",-1.84032291918993,"Austin Wells",27562,669224
"Dominic Smith","- - -",-1.887856108136475,"Dominic Smith",15653,642086
"Andrew Benintendi","CHW",-1.904295414686203,"Andrew Benintendi",17901,643217
"Connor Norby","- - -",-1.9403574839234352,"Connor Norby",29592,681393
"Jeff McNeil","NYM",-1.9540038406848907,"Jeff McNeil",15362,643446
"Brandon Drury","LAA",-1.9727426320314407,"Brandon Drury",11615,592273
"LaMonte Wade Jr.","SFG",-1.9751842692494392,"LaMonte Wade Jr.",18126,664774
"Mark Vientos","NYM",-1.9792402312159538,"Mark Vientos",22184,668901
"Mitch Garver","SEA",-2.0339426770806313,"Mitch Garver",15161,641598
"Miguel Andujar","OAK",-2.066518120467663,"Miguel Andujar",15878,609280
"Nolan Arenado","STL",-2.0893630906939507,"Nolan Arenado",9777,571448
"Tyler Soderstrom","OAK",-2.092615194618702,"Tyler Soderstrom",27467,691016
"Francisco Alvarez","NYM",-2.1213935017585754,"Francisco Alvarez",26121,682626
"Triston Casas","BOS",-2.1855184957385063,"Triston Casas",22514,671213
"DJ LeMahieu","NYY",-2.189498022198677,"DJ LeMahieu",9874,518934
"Brayan Rocchio","CLE",-2.2096208035945892,"Brayan Rocchio",23690,677587
"Christopher Morel","- - -",-2.250220850110054,"Christopher Morel",21897,666624
"Nick Fortes","MIA",-2.2555252835154533,"Nick Fortes",21538,663743
"J.D. Martinez","NYM",-2.3118885457515717,"J.D. Martinez",6184,502110
"Alex Bregman","HOU",-2.3413042798638344,"Alex Bregman",17678,608324
"Rowdy Tellez","PIT",-2.341602198779583,"Rowdy Tellez",15679,642133
"Elehuris Montero","COL",-2.347861260175705,"Elehuris Montero",20543,660707
"Paul DeJong","- - -",-2.397143676877022,"Paul DeJong",18015,657557
"Kyle Schwarber","PHI",-2.412899859249592,"Kyle Schwarber",16478,656941
"Andrew Vaughn","CHW",-2.4561319798231125,"Andrew Vaughn",26197,683734
"Alex Verdugo","NYY",-2.5138715654611588,"Alex Verdugo",17027,657077
"Masataka Yoshida","BOS",-2.514483630657196,"Masataka Yoshida",31837,807799
"Christian Vázquez","MIN",-2.5403448790311813,"Christian Vazquez",9774,543877
"Eloy Jiménez","- - -",-2.5449894815683365,"Eloy Jimenez",17484,650391
"Josh Naylor","CLE",-2.5667911991477013,"Josh Naylor",18839,647304
"William Contreras","MIL",-2.5689423754811287,"William Contreras",20503,661388
"Cal Raleigh","SEA",-2.584184691309929,"Cal Raleigh",21534,663728
"Taylor Ward","LAA",-2.588239274919033,"Taylor Ward",17548,621493
"JJ Bleday","OAK",-2.5994250252842903,"JJ Bleday",26368,668709
"Alec Bohm","PHI",-2.620169907808304,"Alec Bohm",21618,664761
"Bryan De La Cruz","- - -",-2.6218443289399147,"Bryan De La Cruz",19600,650559
"Ryan McMahon","COL",-2.6608245596289635,"Ryan McMahon",15112,641857
"Gio Urshela","- - -",-2.7065264135599136,"Gio Urshela",10681,570482
"Miguel Amaya","CHC",-2.7278412580490112,"Miguel Amaya",21693,665804
"Anthony Santander","BAL",-2.7611994817852974,"Anthony Santander",14551,623993
"Anthony Rizzo","NYY",-2.779727540910244,"Anthony Rizzo",3473,519203
"Daniel Schneemann","CLE",-2.7825740575790405,"Daniel Schneemann",25180,682177
"Shea Langeliers","OAK",-2.8017610982060432,"Shea Langeliers",25816,669127
"Jesse Winker","- - -",-2.8250581584870815,"Jesse Winker",13590,608385
"Nick Gordon","MIA",-2.833656333386898,"Nick Gordon",16337,624503
"Jonah Heim","TEX",-2.8594571724534035,"Jonah Heim",16930,641680
"Andrew McCutchen","PIT",-2.862283416092396,"Andrew McCutchen",9847,457705
"Gavin Sheets","CHW",-2.8838923051953316,"Gavin Sheets",19901,657757
"Elias Díaz","- - -",-2.9044630359858274,"Elias Diaz",11680,553869
